1,Baby Items,"diapers, baby food, etc.",2014-03-22 10:19:48,2014-03-22 10:19:48,
2,Baking,"flour, sugar, cake mixes, icings, cooking oil, etc",2014-03-22 10:19:48,2014-03-22 10:19:48,
3,Beverages,"tea, coffee, soda, juice, mineral water, etc",2014-03-22 10:19:48,2014-03-22 10:19:48,
4,Bread/Bakery,"rolls, bread, cakes, pies, muffins, donuts, cookies, etc",2014-03-22 10:19:48,2014-03-22 10:19:48,
5,Canned Goods,"canned sardines, meat, beans, etc",2014-03-22 10:19:48,2014-03-22 10:19:48,
6,Cereal/Breakfast,"cereals, oatmeal, breakfast bars, etc",2014-03-22 10:19:48,2014-03-22 10:19:48,
7,Condiments,"ketchup, soysauce, pickle relish, salad dressing, croutons, jelly, etc",2014-03-22 10:19:48,2014-03-22 10:19:48,
8,Dairy,"milk, eggs, cheeses, etc.",2014-03-22 10:19:48,2014-03-22 10:19:48,
9,Frozen Foods,"anything frozen, including ice cream, vegetables, fruits, etc",2014-03-22 10:19:48,2014-03-22 10:19:48,
10,Health & Beauty,"pharmacy items, shampoo, toothpaste",2014-03-22 10:19:48,2014-03-22 10:19:48,
